Runtime,Released_Year,IMDB_Rating,Meta_score,No_of_Votes,Gross
106.0,2017.0,7.8,94.0,555092,188373161.0
127.0,2016.0,7.8,74.0,200876,169607287.0
103.0,2017.0,7.8,88.0,61594,40442052.0
101.0,2016.0,7.8,84.0,118035,48023088.0
137.0,2016.0,7.8,96.0,246963,47695120.0
100.0,2015.0,7.8,75.0,35539,435266.0
133.0,2016.0,7.8,65.0,556608,532177324.0
147.0,2016.0,7.8,75.0,663649,408084349.0
168.0,2015.0,7.8,68.0,517059,54117416.0
135.0,2019.0,7.8,91.0,143250,108101214.0
94.0,2017.0,7.8,62.0,50778,6735118.0
130.0,2013.0,7.8,85.0,45002,1330596.0
141.0,2013.0,7.8,86.0,81125,2852400.0
104.0,2013.0,7.8,76.0,50523,4231500.0
102.0,2014.0,7.8,74.0,410983,222527828.0
123.0,2013.0,7.8,55.0,303032,15322921.0
126.0,2013.0,7.8,83.0,73690,5209580.0
100.0,2019.0,7.8,84.0,203177,434038008.0
131.0,2013.0,7.8,49.0,108399,85433.0
94.0,2012.0,7.8,84.0,318789,45512466.0
102.0,2014.0,7.8,76.0,305611,177002924.0
130.0,2015.0,7.8,81.0,362942,70259870.0
144.0,2010.0,7.8,67.0,111252,128392.0
158.0,2011.0,7.8,71.0,423010,102515793.0
134.0,2013.0,7.8,82.0,421244,107100855.0
147.0,2015.0,7.8,72.0,179264,161197785.0
129.0,2009.0,7.8,79.0,52758,547292.0
161.0,2013.0,7.8,66.0,601408,258366855.0
144.0,2009.0,7.8,82.0,68715,2222647.0
152.0,2009.0,7.8,76.0,208994,10095170.0
116.0,2010.0,7.8,79.0,340584,93617009.0
90.0,2008.0,7.8,51.0,564791,145000989.0
94.0,2008.0,7.8,55.0,190748,9030581.0
86.0,2007.0,7.8,88.0,110656,9439923.0
169.0,2012.0,7.8,58.0,757377,303003568.0
122.0,2007.0,7.8,85.0,30827,741283.0
123.0,2007.0,7.8,85.0,251370,50927067.0
100.0,2011.0,7.8,78.0,571571,35061555.0
157.0,2007.0,7.8,76.0,392449,130164645.0
162.0,2009.0,7.8,83.0,1118998,760507625.0
141.0,2009.0,7.8,63.0,216421,3600.0
139.0,2006.0,7.8,68.0,291018,50866635.0
101.0,2006.0,7.8,80.0,439856,59891098.0
121.0,2007.0,7.8,81.0,463466,23637265.0
166.0,2008.0,7.8,70.0,589160,127509326.0
192.0,2004.0,7.8,67.0,49050,2921738.0
94.0,2005.0,7.8,51.0,45717,1305.0
129.0,2005.0,7.8,82.0,258924,38405088.0
127.0,2005.0,7.8,68.0,51980,5128124.0
90.0,2003.0,7.8,73.0,31658,128985.0
119.0,2005.0,7.8,74.0,283310,25514517.0
136.0,2005.0,7.8,72.0,234207,119519402.0
113.0,2003.0,7.8,61.0,35682,15280.0
123.0,2004.0,7.8,53.0,520284,81001787.0
126.0,2004.0,7.8,75.0,96703,16756372.0
109.0,2002.0,7.8,82.0,42673,181655.0
80.0,2003.0,7.8,91.0,50622,7002255.0
131.0,2002.0,7.8,61.0,129022,54234062.0
99.0,2001.0,7.8,83.0,60684,2892011.0
113.0,2000.0,7.8,48.0,198089,115654751.0
120.0,2000.0,7.8,94.0,253228,128078872.0
101.0,1999.0,7.8,87.0,89058,8264530.0
143.0,2000.0,7.8,73.0,524235,233632142.0
108.0,1999.0,7.8,44.0,227143,25812.0
157.0,1999.0,7.8,84.0,159886,28965197.0
108.0,1999.0,7.8,71.0,82855,32481825.0
90.0,2001.0,7.8,84.0,613941,267665011.0
194.0,1997.0,7.8,75.0,1046089,659325379.0
106.0,1997.0,7.8,64.0,280845,12339633.0
129.0,1997.0,7.8,61.0,345096,48323648.0
159.0,1996.0,7.8,76.0,62428,4040691.0
127.0,1994.0,7.8,70.0,164937,5887457.0
118.0,1993.0,7.8,73.0,215034,9170214.0
130.0,1993.0,7.8,50.0,126871,56505065.0
101.0,1993.0,7.8,55.0,78963,32416586.0
134.0,1993.0,7.8,84.0,66065,22954968.0
132.0,1993.0,7.8,84.0,34635,1769305.0
130.0,1993.0,7.8,87.0,267684,183875760.0
121.0,1993.0,7.8,80.0,128171,17266971.0
129.0,1991.0,7.8,68.0,55362,2015810.0
98.0,1991.0,7.8,86.0,42376,1999955.0
112.0,1991.0,7.8,76.0,126082,57504069.0
107.0,1990.0,7.8,75.0,184740,61276872.0
121.0,1990.0,7.8,74.0,125276,52096475.0
122.0,1989.0,7.8,78.0,122779,26830000.0
108.0,1989.0,7.8,57.0,481918,118500000.0
128.0,1988.0,7.8,65.0,88214,34603943.0
107.0,1987.0,7.8,45.0,371387,59735548.0
84.0,1987.0,7.8,72.0,148359,5923044.0
103.0,1986.0,7.8,61.0,321382,70136369.0
107.0,1986.0,7.8,75.0,47834,1436000.0
114.0,1985.0,7.8,62.0,244430,61503218.0
154.0,1985.0,7.8,78.0,78321,98467863.0
97.0,1985.0,7.8,66.0,357026,45875171.0
141.0,1984.0,7.8,76.0,51585,34700291.0
105.0,1984.0,7.8,71.0,355413,238632124.0
193.0,1983.0,7.8,91.0,56235,21500000.0
109.0,1982.0,7.8,73.0,88511,2500000.0
115.0,1982.0,7.8,91.0,372490,435110554.0
105.0,1979.0,7.8,77.0,133351,106260000.0
135.0,1976.0,7.8,69.0,65659,31800000.0
113.0,1974.0,7.8,85.0,98611,4420000.0
72.0,1973.0,7.8,73.0,25229,193817.0
143.0,1973.0,7.8,80.0,37445,16056255.0
124.0,1972.0,7.8,80.0,48334,42765000.0
100.0,1971.0,7.8,67.0,178731,4000000.0
113.0,1969.0,7.8,79.0,101124,44785053.0
108.0,1967.0,7.8,81.0,27733,17550741.0
108.0,1967.0,7.8,63.0,39642,56700000.0
170.0,1964.0,7.8,95.0,86525,72000000.0
139.0,1964.0,7.8,88.0,158029,102272727.0
178.0,1962.0,7.8,75.0,52141,39100000.0
100.0,1961.0,7.8,88.0,27007,2616000.0
75.0,1935.0,7.8,95.0,43542,4360000.0
104.0,2017.0,7.7,85.0,25198,335609.0
119.0,2018.0,7.7,66.0,478586,324591735.0
107.0,2017.0,7.7,73.0,205444,33800859.0
104.0,2017.0,7.7,85.0,492851,176040665.0
147.0,2018.0,7.7,86.0,291257,220159104.0
116.0,2015.0,7.7,70.0,47444,3358518.0
86.0,2014.0,7.7,76.0,157498,3333000.0
103.0,2014.0,7.7,72.0,32798,765127.0
123.0,2014.0,7.7,72.0,404182,35893537.0
129.0,2014.0,7.7,60.0,590440,128261724.0
126.0,2014.0,7.7,69.0,344312,124872350.0
105.0,2015.0,7.7,74.0,123210,6743776.0
119.0,2014.0,7.7,87.0,580291,42340598.0
180.0,2013.0,7.7,89.0,138741,2199675.0
130.0,2013.0,7.7,40.0,32628,1122527.0
111.0,2012.0,7.7,70.0,39379,175058.0
136.0,2014.0,7.7,70.0,736182,259766572.0
115.0,2013.0,7.7,87.0,112298,17654912.0
